feedback_id,case_id,component_uid,component_code,component_name,fault_type,fault_position,fault_severity,diagnosis_confidence,rca_text,fault_evolution_text,rca_confidence,true_reason_id,true_reason_type,true_stage
HFB-00001,HCASE-00001,HCU-00001,C006,冷却器,flow_abnormal,冷却器,slight,0.659,冷却器出现轻微流量异常，生命周期风险集中在设计阶段，建议优先追溯 HDES-00156。,设计阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5613,HDES-00156,DesignSpec,design
HFB-00002,HCASE-00002,HCU-00002,C011,管路总成,valve_stuck,管路总成,slight,0.7153,结合传感器能量和检测记录，管路总成的阀芯卡滞与制造阶段高风险实体 HMAN-00169 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成阀芯卡滞。,0.5939,HMAN-00169,ManufacturingBatch,manufacturing
HFB-00003,HCASE-00003,HCU-00003,C001,液压泵总成,vibration_abnormal,液压泵总成,slight,0.6205,结合传感器能量和检测记录，液压泵总成的振动异常与材料阶段高风险实体 HMAT-00005 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5884,HMAT-00005,MaterialBatch,material
HFB-00004,HCASE-00004,HCU-00004,C010,节流阀,valve_stuck,节流阀,slight,0.6964,该案例表现为轻微阀芯卡滞，根因更可能由运维阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5935,HOPR-00004,MaintenanceRecord,operation
HFB-00005,HCASE-00005,HCU-00005,C004,溢流阀,pressure_abnormal,溢流阀,slight,0.7572,结合传感器能量和检测记录，溢流阀的压力异常与运维阶段高风险实体 HOPR-00005 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.6744,HOPR-00005,MaintenanceRecord,operation
HFB-00006,HCASE-00006,HCU-00006,C002,方向控制阀,valve_stuck,方向控制阀,slight,0.6878,该案例表现为轻微阀芯卡滞，根因更可能由制造阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.6432,HMAN-00205,ManufacturingBatch,manufacturing
HFB-00007,HCASE-00007,HCU-00007,C002,方向控制阀,flow_abnormal,方向控制阀,slight,0.6263,该案例表现为轻微流量异常，根因更可能由设计阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.6204,HDES-00466,DesignSpec,design
HFB-00008,HCASE-00008,HCU-00008,C011,管路总成,valve_stuck,管路总成,medium,0.6851,管路总成出现中度阀芯卡滞，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00525。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。,0.6104,HMAT-00525,MaterialBatch,material
HFB-00009,HCASE-00009,HCU-00009,C011,管路总成,valve_stuck,管路总成,slight,0.7093,结合传感器能量和检测记录，管路总成的阀芯卡滞与装配阶段高风险实体 HASM-00009 一致。,装配阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5498,HASM-00009,AssemblyRecord,assembly
HFB-00010,HCASE-00010,HCU-00010,C009,单向阀,flow_abnormal,单向阀,medium,0.711,结合传感器能量和检测记录，单向阀的流量异常与运维阶段高风险实体 HOPR-00010 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。,0.5782,HOPR-00010,MaintenanceRecord,operation
