evidence_id,feedback_id,evidence_type,evidence_text,confidence,domain
RCA_TEXT_HFB-00001,HFB-00001,rca_text,冷却器出现轻微流量异常，生命周期风险集中在设计阶段，建议优先追溯 HDES-00156。,0.5613,hydraulic
EVO_TEXT_HFB-00001,HFB-00001,fault_evolution_text,设计阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5613,hydraulic
RCA_TEXT_HFB-00002,HFB-00002,rca_text,结合传感器能量和检测记录，管路总成的阀芯卡滞与制造阶段高风险实体 HMAN-00169 一致。,0.5939,hydraulic
EVO_TEXT_HFB-00002,HFB-00002,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成阀芯卡滞。,0.5939,hydraulic
RCA_TEXT_HFB-00003,HFB-00003,rca_text,结合传感器能量和检测记录，液压泵总成的振动异常与材料阶段高风险实体 HMAT-00005 一致。,0.5884,hydraulic
EVO_TEXT_HFB-00003,HFB-00003,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5884,hydraulic
RCA_TEXT_HFB-00004,HFB-00004,rca_text,该案例表现为轻微阀芯卡滞，根因更可能由运维阶段隐患累积触发。,0.5935,hydraulic
EVO_TEXT_HFB-00004,HFB-00004,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5935,hydraulic
RCA_TEXT_HFB-00005,HFB-00005,rca_text,结合传感器能量和检测记录，溢流阀的压力异常与运维阶段高风险实体 HOPR-00005 一致。,0.6744,hydraulic
EVO_TEXT_HFB-00005,HFB-00005,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.6744,hydraulic
RCA_TEXT_HFB-00006,HFB-00006,rca_text,该案例表现为轻微阀芯卡滞，根因更可能由制造阶段隐患累积触发。,0.6432,hydraulic
EVO_TEXT_HFB-00006,HFB-00006,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.6432,hydraulic
RCA_TEXT_HFB-00007,HFB-00007,rca_text,该案例表现为轻微流量异常，根因更可能由设计阶段隐患累积触发。,0.6204,hydraulic
EVO_TEXT_HFB-00007,HFB-00007,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.6204,hydraulic
RCA_TEXT_HFB-00008,HFB-00008,rca_text,管路总成出现中度阀芯卡滞，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00525。,0.6104,hydraulic
EVO_TEXT_HFB-00008,HFB-00008,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。,0.6104,hydraulic
RCA_TEXT_HFB-00009,HFB-00009,rca_text,结合传感器能量和检测记录，管路总成的阀芯卡滞与装配阶段高风险实体 HASM-00009 一致。,0.5498,hydraulic
