vendor_id,vendor_code,vendor_name,vendor_kind_cd,q_level_cd,contact_name,tel_no,addr_txt,valid_flag
1,SUP-CF-0001,Chengdu Aviation Hydraulic Seals Co Ltd,ERP_MAKE,ERP_A,Zhang Jiancheng,13800000001,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,Y
2,SUP-CF-0002,Sichuan Precision Bearing Manufacturing Plant,ERP_BUY,ERP_B,Li Hang,13800000002,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,Y
3,SUP-CF-0003,Southwest Aviation Hydraulic Accessories Plant,ERP_ASSEMBLY,ERP_C,Wang Lijun,13800000003,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,N
4,SUP-CF-0004,Chengdu High-Tech Surface Treatment Center,ERP_SERVICE,ERP_D,Zhao Min,13800000004,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,Y
5,SUP-CF-0005,Deyang Aviation Forging Co Ltd,ERP_MAKE,ERP_A,Chen Gong,13800000005,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,Y
6,SUP-CF-0006,Mianyang Precision Sensor Co Ltd,ERP_BUY,ERP_B,Liu Xiaofeng,13800000006,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,N
7,SUP-CF-0007,Chengdu Aviation Materials Supply Chain Co Ltd,ERP_ASSEMBLY,ERP_C,Zhou Qian,13800000007,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,Y
8,SUP-CF-0008,Zigong Aviation Rubber Products Plant,ERP_SERVICE,ERP_D,Huang Zhiqiang,13800000008,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,Y
9,SUP-CF-0009,Chengdu Aviation Hydraulic Seals Co Ltd,ERP_MAKE,ERP_A,Sun Wei,13800000009,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,N
10,SUP-CF-0010,Sichuan Precision Bearing Manufacturing Plant,ERP_BUY,ERP_B,Ma Rui,13800000010,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,Y
11,SUP-CF-0011,Southwest Aviation Hydraulic Accessories Plant,ERP_ASSEMBLY,ERP_C,Zhang Jiancheng,13800000011,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,Y
12,SUP-CF-0012,Chengdu High-Tech Surface Treatment Center,ERP_SERVICE,ERP_D,Li Hang,13800000012,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,N
13,SUP-CF-0013,Deyang Aviation Forging Co Ltd,ERP_MAKE,ERP_A,Wang Lijun,13800000013,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,Y
14,SUP-CF-0014,Mianyang Precision Sensor Co Ltd,ERP_BUY,ERP_B,Zhao Min,13800000014,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,Y
15,SUP-CF-0015,Chengdu Aviation Materials Supply Chain Co Ltd,ERP_ASSEMBLY,ERP_C,Chen Gong,13800000015,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,N
16,SUP-CF-0016,Zigong Aviation Rubber Products Plant,ERP_SERVICE,ERP_D,Liu Xiaofeng,13800000016,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,Y
17,SUP-CF-0017,Chengdu Aviation Hydraulic Seals Co Ltd,ERP_MAKE,ERP_A,Zhou Qian,13800000017,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,Y
18,SUP-CF-0018,Sichuan Precision Bearing Manufacturing Plant,ERP_BUY,ERP_B,Huang Zhiqiang,13800000018,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,N
19,SUP-CF-0019,Southwest Aviation Hydraulic Accessories Plant,ERP_ASSEMBLY,ERP_C,Sun Wei,13800000019,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,Y
20,SUP-CF-0020,Chengdu High-Tech Surface Treatment Center,ERP_SERVICE,ERP_D,Ma Rui,13800000020,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,Y
21,SUP-CF-0021,Deyang Aviation Forging Co Ltd,ERP_MAKE,ERP_A,Zhang Jiancheng,13800000021,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,N
22,SUP-CF-0022,Mianyang Precision Sensor Co Ltd,ERP_BUY,ERP_B,Li Hang,13800000022,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,Y
23,SUP-CF-0023,Chengdu Aviation Materials Supply Chain Co Ltd,ERP_ASSEMBLY,ERP_C,Wang Lijun,13800000023,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,Y
24,SUP-CF-0024,Zigong Aviation Rubber Products Plant,ERP_SERVICE,ERP_D,Zhao Min,13800000024,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,N
25,SUP-CF-0025,Chengdu Aviation Hydraulic Seals Co Ltd,ERP_MAKE,ERP_A,Chen Gong,13800000025,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,Y
26,SUP-CF-0026,Sichuan Precision Bearing Manufacturing Plant,ERP_BUY,ERP_B,Liu Xiaofeng,13800000026,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,Y
27,SUP-CF-0027,Southwest Aviation Hydraulic Accessories Plant,ERP_ASSEMBLY,ERP_C,Zhou Qian,13800000027,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,N
28,SUP-CF-0028,Chengdu High-Tech Surface Treatment Center,ERP_SERVICE,ERP_D,Huang Zhiqiang,13800000028,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,Y
29,SUP-CF-0029,Deyang Aviation Forging Co Ltd,ERP_MAKE,ERP_A,Sun Wei,13800000029,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,Y
30,SUP-CF-0030,Mianyang Precision Sensor Co Ltd,ERP_BUY,ERP_B,Ma Rui,13800000030,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,N
31,SUP-CF-0031,Chengdu Aviation Materials Supply Chain Co Ltd,ERP_ASSEMBLY,ERP_C,Zhang Jiancheng,13800000031,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,Y
32,SUP-CF-0032,Zigong Aviation Rubber Products Plant,ERP_SERVICE,ERP_D,Li Hang,13800000032,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,Y
33,SUP-CF-0033,Chengdu Aviation Hydraulic Seals Co Ltd,ERP_MAKE,ERP_A,Wang Lijun,13800000033,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,N
34,SUP-CF-0034,Sichuan Precision Bearing Manufacturing Plant,ERP_BUY,ERP_B,Zhao Min,13800000034,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,Y
35,SUP-CF-0035,Southwest Aviation Hydraulic Accessories Plant,ERP_ASSEMBLY,ERP_C,Chen Gong,13800000035,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,Y
36,SUP-CF-0036,Chengdu High-Tech Surface Treatment Center,ERP_SERVICE,ERP_D,Liu Xiaofeng,13800000036,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,N
37,SUP-CF-0037,Deyang Aviation Forging Co Ltd,ERP_MAKE,ERP_A,Zhou Qian,13800000037,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,Y
38,SUP-CF-0038,Mianyang Precision Sensor Co Ltd,ERP_BUY,ERP_B,Huang Zhiqiang,13800000038,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,Y
39,SUP-CF-0039,Chengdu Aviation Materials Supply Chain Co Ltd,ERP_ASSEMBLY,ERP_C,Sun Wei,13800000039,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,N
40,SUP-CF-0040,Zigong Aviation Rubber Products Plant,ERP_SERVICE,ERP_D,Ma Rui,13800000040,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,Y
41,SUP-CF-0041,Chengdu Aviation Hydraulic Seals Co Ltd,ERP_MAKE,ERP_A,Zhang Jiancheng,13800000041,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,Y
42,SUP-CF-0042,Sichuan Precision Bearing Manufacturing Plant,ERP_BUY,ERP_B,Li Hang,13800000042,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,N
43,SUP-CF-0043,Southwest Aviation Hydraulic Accessories Plant,ERP_ASSEMBLY,ERP_C,Wang Lijun,13800000043,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,Y
44,SUP-CF-0044,Chengdu High-Tech Surface Treatment Center,ERP_SERVICE,ERP_D,Zhao Min,13800000044,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,Y
45,SUP-CF-0045,Deyang Aviation Forging Co Ltd,ERP_MAKE,ERP_A,Chen Gong,13800000045,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,N
46,SUP-CF-0046,Mianyang Precision Sensor Co Ltd,ERP_BUY,ERP_B,Liu Xiaofeng,13800000046,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,Y
47,SUP-CF-0047,Chengdu Aviation Materials Supply Chain Co Ltd,ERP_ASSEMBLY,ERP_C,Zhou Qian,13800000047,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,Y
48,SUP-CF-0048,Zigong Aviation Rubber Products Plant,ERP_SERVICE,ERP_D,Huang Zhiqiang,13800000048,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,N
49,SUP-CF-0049,Chengdu Aviation Hydraulic Seals Co Ltd,ERP_MAKE,ERP_A,Sun Wei,13800000049,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,Y
50,SUP-CF-0050,Sichuan Precision Bearing Manufacturing Plant,ERP_BUY,ERP_B,Ma Rui,13800000050,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,Y
51,SUP-CF-0051,Southwest Aviation Hydraulic Accessories Plant,ERP_ASSEMBLY,ERP_C,Zhang Jiancheng,13800000051,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,N
52,SUP-CF-0052,Chengdu High-Tech Surface Treatment Center,ERP_SERVICE,ERP_D,Li Hang,13800000052,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,Y
53,SUP-CF-0053,Deyang Aviation Forging Co Ltd,ERP_MAKE,ERP_A,Wang Lijun,13800000053,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,Y
54,SUP-CF-0054,Mianyang Precision Sensor Co Ltd,ERP_BUY,ERP_B,Zhao Min,13800000054,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,N
55,SUP-CF-0055,Chengdu Aviation Materials Supply Chain Co Ltd,ERP_ASSEMBLY,ERP_C,Chen Gong,13800000055,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,Y
56,SUP-CF-0056,Zigong Aviation Rubber Products Plant,ERP_SERVICE,ERP_D,Liu Xiaofeng,13800000056,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,Y
57,SUP-CF-0057,Chengdu Aviation Hydraulic Seals Co Ltd,ERP_MAKE,ERP_A,Zhou Qian,13800000057,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,N
58,SUP-CF-0058,Sichuan Precision Bearing Manufacturing Plant,ERP_BUY,ERP_B,Huang Zhiqiang,13800000058,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,Y
59,SUP-CF-0059,Southwest Aviation Hydraulic Accessories Plant,ERP_ASSEMBLY,ERP_C,Sun Wei,13800000059,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,Y
60,SUP-CF-0060,Chengdu High-Tech Surface Treatment Center,ERP_SERVICE,ERP_D,Ma Rui,13800000060,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,N
61,SUP-CF-0061,Deyang Aviation Forging Co Ltd,ERP_MAKE,ERP_A,Zhang Jiancheng,13800000061,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,Y
62,SUP-CF-0062,Mianyang Precision Sensor Co Ltd,ERP_BUY,ERP_B,Li Hang,13800000062,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,Y
63,SUP-CF-0063,Chengdu Aviation Materials Supply Chain Co Ltd,ERP_ASSEMBLY,ERP_C,Wang Lijun,13800000063,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,N
64,SUP-CF-0064,Zigong Aviation Rubber Products Plant,ERP_SERVICE,ERP_D,Zhao Min,13800000064,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,Y
