fault_report_id,service_event_id,repair_order_id,component_serial_no,fault_sym_code,fault_title,fault_text,fail_pos_desc,found_at_text,finder_name,gzjb
1,1,1,LGACT-2026-0001,DEF-HYD-02,Chrome Plating Scratch on Piston Rod,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/09 08:07:00,Zhang Jiancheng,MRO_SEV_MINOR
2,2,2,LGACT-2026-0002,DEF-HYD-03,Seal Ring Compression Damage,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/10 08:14:00,Li Hang,MRO_SEV_MAJOR
3,3,3,LGACT-2026-0003,DEF-HYD-04,Scratch on Cylinder Barrel Inner Wall,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/11 08:21:00,Wang Lijun,MRO_SEV_CRITICAL
4,4,4,LGACT-2026-0004,DEF-HYD-05,Pressure Holding Leakage Rate Out of Tolerance,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/12 08:28:00,Zhao Min,MRO_SEV_WARN
5,5,5,LGACT-2026-0005,DEF-HYD-06,Actuation Hysteresis,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/13 08:35:00,Chen Gong,MRO_SEV_MINOR
6,6,6,LGACT-2026-0006,DEF-HYD-07,Minor Leakage at Hydraulic Fitting,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/14 08:42:00,Liu Xiaofeng,MRO_SEV_MAJOR
7,7,7,LGACT-2026-0007,DEF-HYD-08,Excessive Trunnion Bushing Clearance,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/15 08:49:00,Zhou Qian,MRO_SEV_CRITICAL
8,8,8,LGACT-2026-0008,DEF-HYD-09,Loose Displacement Sensor Bracket,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/16 08:56:00,Huang Zhiqiang,MRO_SEV_WARN
9,9,9,LGACT-2026-0009,DEF-HYD-01,Chrome Plating Scratch on Piston Rod,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/17 09:03:00,Sun Wei,MRO_SEV_MINOR
10,10,10,LGACT-2026-0010,DEF-HYD-02,Seal Ring Compression Damage,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/18 09:10:00,Ma Rui,MRO_SEV_MAJOR
