case_id,feedback_id,root_sensor,root_sensor_confidence,secondary_sensor,secondary_sensor_confidence,root_component_code,root_component_name,component_confidence,rca_confidence,rca_text,fault_evolution_text
HCASE-00001,HFB-00001,TS2,0.7302,FS2,0.5462,C006,冷却器,0.6952,0.5613,冷却器出现轻微流量异常，生命周期风险集中在设计阶段，建议优先追溯 HDES-00156。,设计阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00002,HFB-00002,PS6,0.7103,VS1,0.7082,C011,管路总成,0.7089,0.5939,结合传感器能量和检测记录，管路总成的阀芯卡滞与制造阶段高风险实体 HMAN-00169 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成阀芯卡滞。
HCASE-00003,HFB-00003,PS1,0.7817,FS1,0.5289,C001,液压泵总成,0.7459,0.5884,结合传感器能量和检测记录，液压泵总成的振动异常与材料阶段高风险实体 HMAT-00005 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00004,HFB-00004,PS5,0.6829,PS2,0.5556,C010,节流阀,0.7128,0.5935,该案例表现为轻微阀芯卡滞，根因更可能由运维阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00005,HFB-00005,PS2,0.9436,PS6,0.5808,C004,溢流阀,0.8139,0.6744,结合传感器能量和检测记录，溢流阀的压力异常与运维阶段高风险实体 HOPR-00005 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00006,HFB-00006,PS3,0.9336,PS3,0.8169,C002,方向控制阀,0.8107,0.6432,该案例表现为轻微阀芯卡滞，根因更可能由制造阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00007,HFB-00007,FS1,0.8358,PS2,0.5466,C002,方向控制阀,0.7767,0.6204,该案例表现为轻微流量异常，根因更可能由设计阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00008,HFB-00008,PS2,0.7102,TS1,0.5432,C011,管路总成,0.7346,0.6104,管路总成出现中度阀芯卡滞，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00525。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。
HCASE-00009,HFB-00009,VS1,0.8082,VS1,0.7072,C011,管路总成,0.753,0.5498,结合传感器能量和检测记录，管路总成的阀芯卡滞与装配阶段高风险实体 HASM-00009 一致。,装配阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00010,HFB-00010,FS1,0.768,EPS1,0.5574,C009,单向阀,0.7539,0.5782,结合传感器能量和检测记录，单向阀的流量异常与运维阶段高风险实体 HOPR-00010 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。
HCASE-00011,HFB-00011,PS3,0.8257,PS4,0.6897,C002,方向控制阀,0.7848,0.6081,结合传感器能量和检测记录，方向控制阀的阀芯卡滞与材料阶段高风险实体 HMAT-00010 一致。,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00012,HFB-00012,FS2,0.7319,PS6,0.5593,C003,作动筒,0.7322,0.595,作动筒出现轻微泄漏异常，生命周期风险集中在设计阶段，建议优先追溯 HDES-00094。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。
HCASE-00013,HFB-00013,PS1,0.6979,PS2,0.6044,C011,管路总成,0.6613,0.5264,蓄能器出现轻微振动异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00013。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00014,HFB-00014,PS3,0.7734,PS3,0.6767,C010,节流阀,0.7438,0.6222,结合传感器能量和检测记录，过滤器的流量异常与制造阶段高风险实体 HMAN-01123 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。
HCASE-00015,HFB-00015,PS1,0.7495,PS6,0.801,C011,管路总成,0.764,0.7009,管路总成出现中度振动异常，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00300。,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00016,HFB-00016,VS1,0.7206,PS4,0.5504,C011,管路总成,0.7434,0.5684,该案例表现为中度流量异常，根因更可能由运维阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。
HCASE-00017,HFB-00017,PS3,0.7194,EPS1,0.5465,C009,单向阀,0.6951,0.6072,该案例表现为轻微温度异常，根因更可能由运维阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成温度异常。
HCASE-00018,HFB-00018,PS2,0.8046,FS1,0.5832,C004,溢流阀,0.7498,0.6439,结合传感器能量和检测记录，溢流阀的阀芯卡滞与制造阶段高风险实体 HMAN-00782 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成阀芯卡滞。
HCASE-00019,HFB-00019,PS3,0.7348,EPS1,0.527,C009,单向阀,0.7003,0.6073,结合传感器能量和检测记录，单向阀的振动异常与检测阶段高风险实体 HINSP-00019 一致。,检测阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00020,HFB-00020,VS1,0.6993,PS6,0.6728,C011,管路总成,0.6805,0.5829,该案例表现为轻微流量异常，根因更可能由运维阶段隐患累积触发。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00021,HFB-00021,FS1,0.7905,PS3,0.669,C010,节流阀,0.7143,0.5397,节流阀出现轻微温度异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00021。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
