quality_event_subject_id,quality_event_id,component_instance_id,part_instance_id,production_batch_id,inventory_batch_id,supplier_batch_id,work_order_id,operation_execution_id,step_execution_id,process_parameter_record_id,inspection_record_id,defect_record_id,purchase_order_id,supplier_id,maintenance_event_id,replacement_record_id,service_feedback_id,subject_type,subject_role,impact_desc,created_at
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,SELF_MADE,TRIGGER,Self-made Part Manufacturing Quality Trace Chain: Piston Rod Assembly is associated with Piston Rod Chrome Plating Visual Inspection and Chrome Plating Scratch on Piston Rod.,2026-05-09 08:07:00
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,SELF_MADE,TRIGGER,Self-made Part Manufacturing Quality Trace Chain: Cylinder Barrel Assembly is associated with Cylinder Barrel Inner Bore Dimension Measurement and Seal Ring Compression Damage.,2026-05-10 08:14:00
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,PURCHASED,TRIGGER,Purchased and Outsourced Part Quality Trace Chain: Front End Cap is associated with Sealing Performance Inspection and Scratch on Cylinder Barrel Inner Wall.,2026-05-11 08:21:00
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,PURCHASED,TRIGGER,Purchased and Outsourced Part Quality Trace Chain: Rear End Cap is associated with Pressure Holding Leakage Rate Recheck and Pressure Holding Leakage Rate Out of Tolerance.,2026-05-12 08:28:00
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,ASSEMBLY,TRIGGER,Assembly and Final Inspection Quality Trace Chain: Seal Ring Assembly is associated with Extension and Retraction Stroke Measurement and Actuation Hysteresis.,2026-05-13 08:35:00
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,ASSEMBLY,TRIGGER,Assembly and Final Inspection Quality Trace Chain: Trunnion Bushing is associated with Trunnion Bushing Fit Clearance Inspection and Minor Leakage at Hydraulic Fitting.,2026-05-14 08:42:00
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,PARAMETER,TRIGGER,Process Parameter Anomaly Trace Chain: Spherical Bearing is associated with Hydraulic Fitting Leakage Inspection and Excessive Trunnion Bushing Clearance.,2026-05-15 08:49:00
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,PARAMETER,TRIGGER,Process Parameter Anomaly Trace Chain: Throttle Connector is associated with Final Functional Test and Loose Displacement Sensor Bracket.,2026-05-16 08:56:00
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,MRO,TRIGGER,In-service Maintenance Feedback Trace Chain: Displacement Sensor Bracket is associated with Piston Rod Chrome Plating Visual Inspection and Chrome Plating Scratch on Piston Rod.,2026-05-17 09:03:00
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,MRO,TRIGGER,In-service Maintenance Feedback Trace Chain: Locking Nut is associated with Cylinder Barrel Inner Bore Dimension Measurement and Seal Ring Compression Damage.,2026-05-18 09:10:00
