defect_log_id,inspection_doc_id,quality_event_doc_id,component_serial_no,part_serial_no,work_order_no,op_no,defect_code,defect_name,defect_position_text,severity_code,failure_desc,find_dept_code,find_dept_name
1,1,1,LGACT-2026-0001,PIN-2026-0001,WO-LG-2026-0001,OP020,DEF-HYD-02,Chrome Plating Scratch on Piston Rod,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_SEV_MINOR,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-02,Quality Management Department
2,2,2,LGACT-2026-0002,PIN-2026-0002,WO-LG-2026-0002,OP030,DEF-HYD-03,Seal Ring Compression Damage,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_SEV_MAJOR,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-03,Hydraulic Assembly Workshop
3,3,3,LGACT-2026-0003,PIN-2026-0003,WO-LG-2026-0003,OP040,DEF-HYD-04,Scratch on Cylinder Barrel Inner Wall,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_SEV_CRITICAL,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,DEPT-QA-04,Precision Machining Workshop
4,4,4,LGACT-2026-0004,PIN-2026-0004,WO-LG-2026-0004,OP050,DEF-HYD-05,Pressure Holding Leakage Rate Out of Tolerance,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_SEV_WARN,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,DEPT-QA-05,Outsourcing Quality Office
5,5,5,LGACT-2026-0005,PIN-2026-0005,WO-LG-2026-0005,OP060,DEF-HYD-06,Actuation Hysteresis,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_SEV_MINOR,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-06,Aviation Materials Procurement Department
6,6,6,LGACT-2026-0006,PIN-2026-0006,WO-LG-2026-0006,OP070,DEF-HYD-07,Minor Leakage at Hydraulic Fitting,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_SEV_MAJOR,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DEPT-QA-01,Field Support Department
7,7,7,LGACT-2026-0007,PIN-2026-0007,WO-LG-2026-0007,OP080,DEF-HYD-08,Excessive Trunnion Bushing Clearance,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_SEV_CRITICAL,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DEPT-QA-02,Quality Management Department
8,8,8,LGACT-2026-0008,PIN-2026-0008,WO-LG-2026-0008,OP010,DEF-HYD-09,Loose Displacement Sensor Bracket,Loose Displacement Sensor Bracket involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_SEV_WARN,Loose Displacement Sensor Bracket involving Throttle Connector; review and disposition are required according to the nonconformance process.,DEPT-QA-03,Hydraulic Assembly Workshop
9,9,9,LGACT-2026-0009,PIN-2026-0009,WO-LG-2026-0009,OP020,DEF-HYD-01,Chrome Plating Scratch on Piston Rod,Chrome Plating Scratch on Piston Rod involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_SEV_MINOR,Chrome Plating Scratch on Piston Rod involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DEPT-QA-04,Precision Machining Workshop
10,10,10,LGACT-2026-0010,PIN-2026-0010,WO-LG-2026-0010,OP030,DEF-HYD-02,Seal Ring Compression Damage,Seal Ring Compression Damage involving Locking Nut; review and disposition are required according to the nonconformance process.,QMS_SEV_MAJOR,Seal Ring Compression Damage involving Locking Nut; review and disposition are required according to the nonconformance process.,DEPT-QA-05,Outsourcing Quality Office
