iqs_failure_content_id,iqs_failure_id,start_piece_no,end_piece_no,failure_desc,failure_place_brief,find_type,find_date,finder_type,find_user_code,find_user_name,duty_worksec_code,duty_worksec_name,duty_dept_code,duty_dept_name,actual_method,doc_no
1,1,2,2,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,NORMAL,2026-05-09 08:07:00,NORMAL,PERS-0001,Piston Rod Assembly 001,WS-HYD-02,Machining Section 1,DEPT-QA-02,Quality Management Department,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0001
2,2,3,3,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,WARNING,2026-05-10 08:14:00,WARNING,PERS-0002,Cylinder Barrel Assembly 002,WS-HYD-03,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0002
3,3,4,4,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,QUALIFIED,2026-05-11 08:21:00,QUALIFIED,PERS-0003,Front End Cap 003,WS-HYD-04,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0003
4,4,5,5,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,CLOSED,2026-05-12 08:28:00,CLOSED,PERS-0004,Rear End Cap 004,WS-HYD-05,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0004
5,5,6,6,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,NORMAL,2026-05-13 08:35:00,NORMAL,PERS-0005,Seal Ring Assembly 005,WS-HYD-06,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0005
6,6,7,7,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,WARNING,2026-05-14 08:42:00,WARNING,PERS-0006,Trunnion Bushing 006,WS-HYD-07,Repair Processing Section,DEPT-QA-01,Field Support Department,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DOCNO-0006
7,7,8,8,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QUALIFIED,2026-05-15 08:49:00,QUALIFIED,PERS-0007,Spherical Bearing 007,WS-HYD-08,Machining Section 1,DEPT-QA-02,Quality Management Department,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DOCNO-0007
8,8,9,9,Loose Displacement Sensor Bracket involving Throttle Connector; review and disposition are required according to the nonconformance process.,Loose Displacement Sensor Bracket involving Throttle Connector; review and disposition are required according to the nonconformance process.,CLOSED,2026-05-16 08:56:00,CLOSED,PERS-0008,Throttle Connector 008,WS-HYD-01,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Loose Displacement Sensor Bracket involving Throttle Connector; review and disposition are required according to the nonconformance process.,DOCNO-0008
9,9,1,1,Chrome Plating Scratch on Piston Rod involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,NORMAL,2026-05-17 09:03:00,NORMAL,PERS-0009,Displacement Sensor Bracket 009,WS-HYD-02,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Chrome Plating Scratch on Piston Rod involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DOCNO-0009
10,10,2,2,Seal Ring Compression Damage involving Locking Nut; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Locking Nut; review and disposition are required according to the nonconformance process.,WARNING,2026-05-18 09:10:00,WARNING,PERS-0010,Locking Nut 010,WS-HYD-03,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Seal Ring Compression Damage involving Locking Nut; review and disposition are required according to the nonconformance process.,DOCNO-0010
