equipment_asset_id,station_id,equipmentid,equipmentname,equipmentnum,eqtype_code,zhuangtai,bgcolor,indate
1,1,EQ-CF-0001,Hydraulic Integrated Test Bench,002,MES_MAKE,MES_OPEN,Piston Rod Assembly aviation manufacturing busines,2026/05/09 08:07:00
2,2,EQ-CF-0002,CNC Cylindrical Grinder,003,MES_BUY,MES_RUNNING,Cylinder Barrel Assembly aviation manufacturing bu,2026/05/10 08:14:00
3,3,EQ-CF-0003,Inner Bore Honing Machine,004,MES_ASSEMBLY,MES_CLOSED,Front End Cap aviation manufacturing business reco,2026/05/11 08:21:00
4,4,EQ-CF-0004,Chrome Plating Thickness Gauge,005,MES_SERVICE,MES_HOLD,Rear End Cap aviation manufacturing business recor,2026/05/12 08:28:00
5,5,EQ-CF-0005,Coordinate Measuring Machine,006,MES_MAKE,MES_OPEN,Seal Ring Assembly aviation manufacturing business,2026/05/13 08:35:00
6,6,EQ-CF-0006,Seal Assembly Press,007,MES_BUY,MES_RUNNING,Trunnion Bushing aviation manufacturing business r,2026/05/14 08:42:00
7,7,EQ-CF-0007,Hydraulic Pulse Test Bench,008,MES_ASSEMBLY,MES_CLOSED,Spherical Bearing aviation manufacturing business ,2026/05/15 08:49:00
8,8,EQ-CF-0008,Ultrasonic Cleaning Machine,009,MES_SERVICE,MES_HOLD,Throttle Connector aviation manufacturing business,2026/05/16 08:56:00
9,9,EQ-CF-0009,Hydraulic Integrated Test Bench,001,MES_MAKE,MES_OPEN,Displacement Sensor Bracket aviation manufacturing,2026/05/17 09:03:00
10,10,EQ-CF-0010,CNC Cylindrical Grinder,002,MES_BUY,MES_RUNNING,Locking Nut aviation manufacturing business record,2026/05/18 09:10:00
11,11,EQ-CF-0011,Inner Bore Honing Machine,003,MES_ASSEMBLY,MES_CLOSED,Piston Rod Assembly aviation manufacturing busines,2026/05/19 09:17:00
12,12,EQ-CF-0012,Chrome Plating Thickness Gauge,004,MES_SERVICE,MES_HOLD,Cylinder Barrel Assembly aviation manufacturing bu,2026/05/20 09:24:00
13,13,EQ-CF-0013,Coordinate Measuring Machine,005,MES_MAKE,MES_OPEN,Front End Cap aviation manufacturing business reco,2026/05/21 09:31:00
14,14,EQ-CF-0014,Seal Assembly Press,006,MES_BUY,MES_RUNNING,Rear End Cap aviation manufacturing business recor,2026/05/22 09:38:00
15,15,EQ-CF-0015,Hydraulic Pulse Test Bench,007,MES_ASSEMBLY,MES_CLOSED,Seal Ring Assembly aviation manufacturing business,2026/05/23 09:45:00
16,16,EQ-CF-0016,Ultrasonic Cleaning Machine,008,MES_SERVICE,MES_HOLD,Trunnion Bushing aviation manufacturing business r,2026/05/24 09:52:00
17,17,EQ-CF-0017,Hydraulic Integrated Test Bench,009,MES_MAKE,MES_OPEN,Spherical Bearing aviation manufacturing business ,2026/05/25 09:59:00
18,18,EQ-CF-0018,CNC Cylindrical Grinder,001,MES_BUY,MES_RUNNING,Throttle Connector aviation manufacturing business,2026/05/26 10:06:00
19,19,EQ-CF-0019,Inner Bore Honing Machine,002,MES_ASSEMBLY,MES_CLOSED,Displacement Sensor Bracket aviation manufacturing,2026/05/27 10:13:00
20,20,EQ-CF-0020,Chrome Plating Thickness Gauge,003,MES_SERVICE,MES_HOLD,Locking Nut aviation manufacturing business record,2026/05/28 10:20:00
21,21,EQ-CF-0021,Coordinate Measuring Machine,004,MES_MAKE,MES_OPEN,Piston Rod Assembly aviation manufacturing busines,2026/05/29 10:27:00
22,22,EQ-CF-0022,Seal Assembly Press,005,MES_BUY,MES_RUNNING,Cylinder Barrel Assembly aviation manufacturing bu,2026/05/30 10:34:00
23,23,EQ-CF-0023,Hydraulic Pulse Test Bench,006,MES_ASSEMBLY,MES_CLOSED,Front End Cap aviation manufacturing business reco,2026/05/31 10:41:00
24,24,EQ-CF-0024,Ultrasonic Cleaning Machine,007,MES_SERVICE,MES_HOLD,Rear End Cap aviation manufacturing business recor,2026/06/01 10:48:00
25,25,EQ-CF-0025,Hydraulic Integrated Test Bench,008,MES_MAKE,MES_OPEN,Seal Ring Assembly aviation manufacturing business,2026/06/02 10:55:00
26,26,EQ-CF-0026,CNC Cylindrical Grinder,009,MES_BUY,MES_RUNNING,Trunnion Bushing aviation manufacturing business r,2026/06/03 11:02:00
27,27,EQ-CF-0027,Inner Bore Honing Machine,001,MES_ASSEMBLY,MES_CLOSED,Spherical Bearing aviation manufacturing business ,2026/06/04 11:09:00
