task_id,workid,taskcode,worktype,workname,partno,route_no,zzh,planqty,yxj,urgent_tab,plandate,delivery_date_char,reportman,reportdate,rwstate
1,WO-LG-2026-0001,TASK-LG-0001,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-002,RT-LGACT-0001,LGACT-2026-0001,002,002,Y,2026/05/09 08:07:00,20260509,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/09 08:07:00,MES_OPEN
2,WO-LG-2026-0002,TASK-LG-0002,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-003,RT-LGACT-0002,LGACT-2026-0002,003,003,Y,2026/05/10 08:14:00,20260510,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,2026/05/10 08:14:00,MES_RUNNING
3,WO-LG-2026-0003,TASK-LG-0003,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-004,RT-LGACT-0003,LGACT-2026-0003,004,004,N,2026/05/11 08:21:00,20260511,Front End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/11 08:21:00,MES_CLOSED
4,WO-LG-2026-0004,TASK-LG-0004,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-005,RT-LGACT-0004,LGACT-2026-0004,005,005,Y,2026/05/12 08:28:00,20260512,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/12 08:28:00,MES_HOLD
5,WO-LG-2026-0005,TASK-LG-0005,MES_MAKE,Seal Component Assembly,LGACT-PART-006,RT-LGACT-0005,LGACT-2026-0005,006,006,Y,2026/05/13 08:35:00,20260513,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/13 08:35:00,MES_OPEN
6,WO-LG-2026-0006,TASK-LG-0006,MES_BUY,Actuator Final Assembly,LGACT-PART-007,RT-LGACT-0006,LGACT-2026-0006,007,007,N,2026/05/14 08:42:00,20260514,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,2026/05/14 08:42:00,MES_RUNNING
7,WO-LG-2026-0007,TASK-LG-0007,MES_ASSEMBLY,Pressure Holding Test,LGACT-PART-008,RT-LGACT-0007,LGACT-2026-0007,008,008,Y,2026/05/15 08:49:00,20260515,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,2026/05/15 08:49:00,MES_CLOSED
8,WO-LG-2026-0008,TASK-LG-0008,MES_SERVICE,Extension and Retraction Function Test,LGACT-PART-009,RT-LGACT-0008,LGACT-2026-0008,009,009,Y,2026/05/16 08:56:00,20260516,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,2026/05/16 08:56:00,MES_HOLD
9,WO-LG-2026-0009,TASK-LG-0009,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-010,RT-LGACT-0009,LGACT-2026-0009,001,001,N,2026/05/17 09:03:00,20260517,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,2026/05/17 09:03:00,MES_OPEN
10,WO-LG-2026-0010,TASK-LG-0010,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-011,RT-LGACT-0010,LGACT-2026-0010,002,002,Y,2026/05/18 09:10:00,20260518,Locking Nut aviation manufacturing business record used for actuator quality traceability.,2026/05/18 09:10:00,MES_RUNNING
11,WO-LG-2026-0011,TASK-LG-0011,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-012,RT-LGACT-0011,LGACT-2026-0011,003,003,Y,2026/05/19 09:17:00,20260519,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/19 09:17:00,MES_CLOSED
12,WO-LG-2026-0012,TASK-LG-0012,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-013,RT-LGACT-0012,LGACT-2026-0012,004,004,N,2026/05/20 09:24:00,20260520,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,2026/05/20 09:24:00,MES_HOLD
13,WO-LG-2026-0013,TASK-LG-0013,MES_MAKE,Seal Component Assembly,LGACT-PART-014,RT-LGACT-0013,LGACT-2026-0013,005,005,Y,2026/05/21 09:31:00,20260521,Front End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/21 09:31:00,MES_OPEN
14,WO-LG-2026-0014,TASK-LG-0014,MES_BUY,Actuator Final Assembly,LGACT-PART-015,RT-LGACT-0014,LGACT-2026-0014,006,006,Y,2026/05/22 09:38:00,20260522,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/22 09:38:00,MES_RUNNING
15,WO-LG-2026-0015,TASK-LG-0015,MES_ASSEMBLY,Pressure Holding Test,LGACT-PART-016,RT-LGACT-0015,LGACT-2026-0015,007,007,N,2026/05/23 09:45:00,20260523,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/23 09:45:00,MES_CLOSED
