iqs_failure_id,quality_event_id,inspection_record_id,defect_record_id,component_instance_id,part_instance_id,work_order_id,operation_execution_id,supplier_id,maintenance_event_id,doc_source,failure_type,quality_code,iqs_failure_order,task_code,product_code,product_name,piece_no,op_no,find_dept_code,find_dept_name,doc_status,secret_level,start_time,finish_time
1,1,1,1,1,1,1,1,1,1,NORMAL,PROCESS_NC,QC-LG-0001,IQS-CF-0001,TASK-LG-0001,AC-LGACT-PROD-0001,Piston Rod Assembly 001,PIECENO-0001,OP020,DEPT-QA-02,Quality Management Department,NORMAL,NORMAL,2026-05-09 08:07:00,2026-05-09 08:07:00
2,2,2,2,2,2,2,2,2,2,WARNING,INCOMING_NC,QC-LG-0002,IQS-CF-0002,TASK-LG-0002,AC-LGACT-PROD-0002,Cylinder Barrel Assembly 002,PIECENO-0002,OP030,DEPT-QA-03,Hydraulic Assembly Workshop,WARNING,WARNING,2026-05-10 08:14:00,2026-05-10 08:14:00
3,3,3,3,3,3,3,3,3,3,QUALIFIED,ASSEMBLY_NC,QC-LG-0003,IQS-CF-0003,TASK-LG-0003,AC-LGACT-PROD-0003,Front End Cap 003,PIECENO-0003,OP040,DEPT-QA-04,Precision Machining Workshop,QUALIFIED,QUALIFIED,2026-05-11 08:21:00,2026-05-11 08:21:00
4,4,4,4,4,4,4,4,4,4,CLOSED,SERVICE_FAILURE,QC-LG-0004,IQS-CF-0004,TASK-LG-0004,AC-LGACT-PROD-0004,Rear End Cap 004,PIECENO-0004,OP050,DEPT-QA-05,Outsourcing Quality Office,CLOSED,CLOSED,2026-05-12 08:28:00,2026-05-12 08:28:00
5,5,5,5,5,5,5,5,5,5,NORMAL,PROCESS_NC,QC-LG-0005,IQS-CF-0005,TASK-LG-0005,AC-LGACT-PROD-0005,Seal Ring Assembly 005,PIECENO-0005,OP060,DEPT-QA-06,Aviation Materials Procurement Department,NORMAL,NORMAL,2026-05-13 08:35:00,2026-05-13 08:35:00
6,6,6,6,6,6,6,6,6,6,WARNING,INCOMING_NC,QC-LG-0006,IQS-CF-0006,TASK-LG-0006,AC-LGACT-PROD-0006,Trunnion Bushing 006,PIECENO-0006,OP070,DEPT-QA-01,Field Support Department,WARNING,WARNING,2026-05-14 08:42:00,2026-05-14 08:42:00
7,7,7,7,7,7,7,7,7,7,QUALIFIED,ASSEMBLY_NC,QC-LG-0007,IQS-CF-0007,TASK-LG-0007,AC-LGACT-PROD-0007,Spherical Bearing 007,PIECENO-0007,OP080,DEPT-QA-02,Quality Management Department,QUALIFIED,QUALIFIED,2026-05-15 08:49:00,2026-05-15 08:49:00
8,8,8,8,8,8,8,8,8,8,CLOSED,SERVICE_FAILURE,QC-LG-0008,IQS-CF-0008,TASK-LG-0008,AC-LGACT-PROD-0008,Throttle Connector 008,PIECENO-0008,OP010,DEPT-QA-03,Hydraulic Assembly Workshop,CLOSED,CLOSED,2026-05-16 08:56:00,2026-05-16 08:56:00
9,9,9,9,9,9,9,9,9,9,NORMAL,PROCESS_NC,QC-LG-0009,IQS-CF-0009,TASK-LG-0009,AC-LGACT-PROD-0009,Displacement Sensor Bracket 009,PIECENO-0009,OP020,DEPT-QA-04,Precision Machining Workshop,NORMAL,NORMAL,2026-05-17 09:03:00,2026-05-17 09:03:00
10,10,10,10,10,10,10,10,10,10,WARNING,INCOMING_NC,QC-LG-0010,IQS-CF-0010,TASK-LG-0010,AC-LGACT-PROD-0010,Locking Nut 010,PIECENO-0010,OP030,DEPT-QA-05,Outsourcing Quality Office,WARNING,WARNING,2026-05-18 09:10:00,2026-05-18 09:10:00
