evidence_id,feedback_id,evidence_type,evidence_text,confidence,domain
RCA_TEXT_BFB-00001,BFB-00001,rca_text,结合振动、峭度和温升特征，外圈故障与装配阶段异常高度一致，优先追溯到 BASM-00001。,0.6369,bearing
EVO_TEXT_BFB-00001,BFB-00001,fault_evolution_text,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6369,bearing
RCA_TEXT_BFB-00002,BFB-00002,rca_text,该样本的生命周期风险在材料阶段较突出，能够解释当前轻微外圈故障的主要失效模式。,0.6439,bearing
EVO_TEXT_BFB-00002,BFB-00002,fault_evolution_text,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为轻微外圈故障。,0.6439,bearing
RCA_TEXT_BFB-00003,BFB-00003,rca_text,该样本的生命周期风险在设计阶段较突出，能够解释当前严重外圈故障的主要失效模式。,0.7745,bearing
EVO_TEXT_BFB-00003,BFB-00003,fault_evolution_text,风险首先在设计阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7745,bearing
RCA_TEXT_BFB-00004,BFB-00004,rca_text,结合振动、峭度和温升特征，滚动体故障与制造阶段异常高度一致，优先追溯到 BMAN-00032。,0.7165,bearing
EVO_TEXT_BFB-00004,BFB-00004,fault_evolution_text,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.7165,bearing
RCA_TEXT_BFB-00005,BFB-00005,rca_text,诊断结果显示轴承出现中等外圈故障，根因更可能来自材料阶段实体 BMAT-00429 的风险累积。,0.7066,bearing
EVO_TEXT_BFB-00005,BFB-00005,fault_evolution_text,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.7066,bearing
RCA_TEXT_BFB-00006,BFB-00006,rca_text,结合振动、峭度和温升特征，外圈故障与检测阶段异常高度一致，优先追溯到 BINSP-00006。,0.6827,bearing
EVO_TEXT_BFB-00006,BFB-00006,fault_evolution_text,风险首先在检测阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6827,bearing
RCA_TEXT_BFB-00007,BFB-00007,rca_text,结合振动、峭度和温升特征，滚动体故障与运维阶段异常高度一致，优先追溯到 BOPR-00007。,0.6178,bearing
EVO_TEXT_BFB-00007,BFB-00007,fault_evolution_text,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等滚动体故障。,0.6178,bearing
RCA_TEXT_BFB-00008,BFB-00008,rca_text,该样本的生命周期风险在制造阶段较突出，能够解释当前中等内圈故障的主要失效模式。,0.6832,bearing
EVO_TEXT_BFB-00008,BFB-00008,fault_evolution_text,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6832,bearing
RCA_TEXT_BFB-00009,BFB-00009,rca_text,诊断结果显示轴承出现中等内圈故障，根因更可能来自装配阶段实体 BASM-00009 的风险累积。,0.6301,bearing
EVO_TEXT_BFB-00009,BFB-00009,fault_evolution_text,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等内圈故障。,0.6301,bearing
RCA_TEXT_BFB-00010,BFB-00010,rca_text,诊断结果显示轴承出现中等内圈故障，根因更可能来自运维阶段实体 BOPR-00010 的风险累积。,0.6896,bearing
EVO_TEXT_BFB-00010,BFB-00010,fault_evolution_text,风险首先在运维阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6896,bearing
RCA_TEXT_BFB-00011,BFB-00011,rca_text,该轴承样本生命周期风险较低，未形成明确故障追溯链。,0.8966,bearing
EVO_TEXT_BFB-00011,BFB-00011,fault_evolution_text,运行状态平稳，检测指标未呈现持续恶化趋势。,0.8966,bearing
RCA_TEXT_BFB-00012,BFB-00012,rca_text,该样本的生命周期风险在制造阶段较突出，能够解释当前中等滚动体故障的主要失效模式。,0.7208,bearing
EVO_TEXT_BFB-00012,BFB-00012,fault_evolution_text,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.7208,bearing
RCA_TEXT_BFB-00013,BFB-00013,rca_text,该样本的生命周期风险在材料阶段较突出，能够解释当前严重内圈故障的主要失效模式。,0.7424,bearing
EVO_TEXT_BFB-00013,BFB-00013,fault_evolution_text,风险首先在材料阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7424,bearing
