feedback_id,bearing_id,raw_label,fault_type,fault_position,fault_severity,diagnosis_confidence,rca_text,fault_evolution_text,rca_confidence,true_reason_id,true_reason_type,true_stage
BFB-00001,BRG-00001,OR014,outer_race_fault,outer_race,medium,0.6635,结合振动、峭度和温升特征，外圈故障与装配阶段异常高度一致，优先追溯到 BASM-00001。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6369,BASM-00001,AssemblyRecord,assembly
BFB-00002,BRG-00002,OR007,outer_race_fault,outer_race,slight,0.6563,该样本的生命周期风险在材料阶段较突出，能够解释当前轻微外圈故障的主要失效模式。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为轻微外圈故障。,0.6439,BMAT-00128,MaterialBatch,material
BFB-00003,BRG-00003,OR021,outer_race_fault,outer_race,severe,0.6955,该样本的生命周期风险在设计阶段较突出，能够解释当前严重外圈故障的主要失效模式。,风险首先在设计阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7745,BDES-00547,BearingDesignSpec,design
BFB-00004,BRG-00004,B014,rolling_element_fault,rolling_element,medium,0.6462,结合振动、峭度和温升特征，滚动体故障与制造阶段异常高度一致，优先追溯到 BMAN-00032。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.7165,BMAN-00032,ManufacturingBatch,manufacturing
BFB-00005,BRG-00005,OR014,outer_race_fault,outer_race,medium,0.6577,诊断结果显示轴承出现中等外圈故障，根因更可能来自材料阶段实体 BMAT-00429 的风险累积。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.7066,BMAT-00429,MaterialBatch,material
BFB-00006,BRG-00006,OR007,outer_race_fault,outer_race,slight,0.7147,结合振动、峭度和温升特征，外圈故障与检测阶段异常高度一致，优先追溯到 BINSP-00006。,风险首先在检测阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6827,BINSP-00006,InspectionRecord,inspection
BFB-00007,BRG-00007,B014,rolling_element_fault,rolling_element,medium,0.6954,结合振动、峭度和温升特征，滚动体故障与运维阶段异常高度一致，优先追溯到 BOPR-00007。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等滚动体故障。,0.6178,BOPR-00007,MaintenanceRecord,operation
BFB-00008,BRG-00008,IR014,inner_race_fault,inner_race,medium,0.7096,该样本的生命周期风险在制造阶段较突出，能够解释当前中等内圈故障的主要失效模式。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6832,BMAN-00524,ManufacturingBatch,manufacturing
BFB-00009,BRG-00009,IR014,inner_race_fault,inner_race,medium,0.6298,诊断结果显示轴承出现中等内圈故障，根因更可能来自装配阶段实体 BASM-00009 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等内圈故障。,0.6301,BASM-00009,AssemblyRecord,assembly
BFB-00010,BRG-00010,IR014,inner_race_fault,inner_race,medium,0.6645,诊断结果显示轴承出现中等内圈故障，根因更可能来自运维阶段实体 BOPR-00010 的风险累积。,风险首先在运维阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6896,BOPR-00010,MaintenanceRecord,operation
BFB-00011,BRG-00011,Normal,normal,none,normal,0.8778,该轴承样本生命周期风险较低，未形成明确故障追溯链。,运行状态平稳，检测指标未呈现持续恶化趋势。,0.8966,NORMAL_BASELINE,QualityFeedback,feedback
BFB-00012,BRG-00012,B014,rolling_element_fault,rolling_element,medium,0.6676,该样本的生命周期风险在制造阶段较突出，能够解释当前中等滚动体故障的主要失效模式。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.7208,BMAN-01034,ManufacturingBatch,manufacturing
BFB-00013,BRG-00013,IR021,inner_race_fault,inner_race,severe,0.7231,该样本的生命周期风险在材料阶段较突出，能够解释当前严重内圈故障的主要失效模式。,风险首先在材料阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7424,BMAT-00257,MaterialBatch,material
BFB-00014,BRG-00014,OR014,outer_race_fault,outer_race,medium,0.7742,诊断结果显示轴承出现中等外圈故障，根因更可能来自设计阶段实体 BDES-00017 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等外圈故障。,0.7751,BDES-00017,BearingDesignSpec,design
BFB-00015,BRG-00015,IR014,inner_race_fault,inner_race,medium,0.6199,诊断结果显示轴承出现中等内圈故障，根因更可能来自材料阶段实体 BMAT-00131 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等内圈故障。,0.615,BMAT-00131,MaterialBatch,material
BFB-00016,BRG-00016,Normal,normal,none,normal,0.8604,该轴承样本生命周期风险较低，未形成明确故障追溯链。,运行状态平稳，检测指标未呈现持续恶化趋势。,0.8407,NORMAL_BASELINE,QualityFeedback,feedback
BFB-00017,BRG-00017,IR014,inner_race_fault,inner_race,medium,0.7538,该样本的生命周期风险在制造阶段较突出，能够解释当前中等内圈故障的主要失效模式。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6729,BMAN-01192,ManufacturingBatch,manufacturing
