work_order_id,component_instance_id,part_definition_id,process_route_id,order_no,task_code,work_order_type,order_name,amount,priority_level,urgent_flag,plan_start_time,plan_finish_time,report_person_name,report_time,order_status
1,1,1,1,WO-LG-2026-0001,TASK-LG-0001,NORMAL,Cylinder Barrel Rough Machining,2,2,True,2026-05-09 08:07:00,2026-05-09 08:01:00,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,2026-05-09 08:07:00,RELEASED
2,2,2,2,WO-LG-2026-0002,TASK-LG-0002,WARNING,Piston Rod Precision Grinding,3,3,True,2026-05-10 08:14:00,2026-05-10 08:02:00,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,2026-05-10 08:14:00,RUNNING
3,3,3,3,WO-LG-2026-0003,TASK-LG-0003,QUALIFIED,Inner Bore Honing,4,4,False,2026-05-11 08:21:00,2026-05-11 08:03:00,Front End Cap aviation manufacturing business record used for actuator quality traceability.,2026-05-11 08:21:00,COMPLETED
4,4,4,4,WO-LG-2026-0004,TASK-LG-0004,CLOSED,Chrome Plating Layer Grinding,5,5,True,2026-05-12 08:28:00,2026-05-12 08:04:00,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,2026-05-12 08:28:00,CLOSED
5,5,5,5,WO-LG-2026-0005,TASK-LG-0005,NORMAL,Seal Component Assembly,6,6,True,2026-05-13 08:35:00,2026-05-13 08:05:00,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,2026-05-13 08:35:00,RELEASED
6,6,6,6,WO-LG-2026-0006,TASK-LG-0006,WARNING,Actuator Final Assembly,7,7,False,2026-05-14 08:42:00,2026-05-14 08:06:00,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,2026-05-14 08:42:00,RUNNING
7,7,7,7,WO-LG-2026-0007,TASK-LG-0007,QUALIFIED,Pressure Holding Test,8,8,True,2026-05-15 08:49:00,2026-05-15 08:07:00,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,2026-05-15 08:49:00,COMPLETED
8,8,8,8,WO-LG-2026-0008,TASK-LG-0008,CLOSED,Extension and Retraction Function Test,9,9,True,2026-05-16 08:56:00,2026-05-16 08:08:00,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,2026-05-16 08:56:00,CLOSED
9,9,9,9,WO-LG-2026-0009,TASK-LG-0009,NORMAL,Cylinder Barrel Rough Machining,1,1,False,2026-05-17 09:03:00,2026-05-17 08:09:00,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,2026-05-17 09:03:00,RELEASED
10,10,10,10,WO-LG-2026-0010,TASK-LG-0010,WARNING,Piston Rod Precision Grinding,2,2,True,2026-05-18 09:10:00,2026-05-18 08:10:00,Locking Nut aviation manufacturing business record used for actuator quality traceability.,2026-05-18 09:10:00,RUNNING
