disposition_record_id,quality_event_id,iqs_failure_id,iqs_failure_content_id,work_order_id,responsible_personnel_id,disposition_no,deal_type_find,deal_type_pass,deal_type_tech,disposition_type,disposition_desc,disposition_date,disposition_status
1,1,1,1,1,1,DSP-CF-0001,REWORK,REWORK,REWORK,REWORK,"Repair and reinspection measures were taken for Chrome Plating Scratch on Piston Rod, and Extension and Retraction Pressure was rechecked against acceptance requirements.",2026-05-09 08:07:00,NORMAL
2,2,2,2,2,2,DSP-CF-0002,REPAIR,REPAIR,REPAIR,REPAIR,"Repair and reinspection measures were taken for Seal Ring Compression Damage, and Pressure Holding Leakage Rate was rechecked against acceptance requirements.",2026-05-10 08:14:00,WARNING
3,3,3,3,3,3,DSP-CF-0003,SCRAP,SCRAP,SCRAP,SCRAP,"Repair and reinspection measures were taken for Scratch on Cylinder Barrel Inner Wall, and Piston Rod Extension Stroke was rechecked against acceptance requirements.",2026-05-11 08:21:00,QUALIFIED
4,4,4,4,4,4,DSP-CF-0004,CONCESSION,CONCESSION,CONCESSION,CONCESSION,"Repair and reinspection measures were taken for Pressure Holding Leakage Rate Out of Tolerance, and Actuation Time was rechecked against acceptance requirements.",2026-05-12 08:28:00,CLOSED
5,5,5,5,5,5,DSP-CF-0005,REWORK,REWORK,REWORK,REWORK,"Repair and reinspection measures were taken for Actuation Hysteresis, and Hydraulic Oil Temperature was rechecked against acceptance requirements.",2026-05-13 08:35:00,NORMAL
6,6,6,6,6,6,DSP-CF-0006,REPAIR,REPAIR,REPAIR,REPAIR,"Repair and reinspection measures were taken for Minor Leakage at Hydraulic Fitting, and Locking Clearance was rechecked against acceptance requirements.",2026-05-14 08:42:00,WARNING
7,7,7,7,7,7,DSP-CF-0007,SCRAP,SCRAP,SCRAP,SCRAP,"Repair and reinspection measures were taken for Excessive Trunnion Bushing Clearance, and Extension and Retraction Pressure was rechecked against acceptance requirements.",2026-05-15 08:49:00,QUALIFIED
8,8,8,8,8,8,DSP-CF-0008,CONCESSION,CONCESSION,CONCESSION,CONCESSION,"Repair and reinspection measures were taken for Loose Displacement Sensor Bracket, and Pressure Holding Leakage Rate was rechecked against acceptance requirements.",2026-05-16 08:56:00,CLOSED
9,9,9,9,9,9,DSP-CF-0009,REWORK,REWORK,REWORK,REWORK,"Repair and reinspection measures were taken for Chrome Plating Scratch on Piston Rod, and Piston Rod Extension Stroke was rechecked against acceptance requirements.",2026-05-17 09:03:00,NORMAL
10,10,10,10,10,10,DSP-CF-0010,REPAIR,REPAIR,REPAIR,REPAIR,"Repair and reinspection measures were taken for Seal Ring Compression Damage, and Actuation Time was rechecked against acceptance requirements.",2026-05-18 09:10:00,WARNING
