part_master_id,design_revision_id,part_no,part_cn_name,part_cat_cd,dwg_no,material_no,mat_grade,spec_text,uom,make_buy_cd,key_level_cd
1,1,LGACT-PART-002,Piston Rod Assembly,PLM_MAKE,DWG-LGACT-0001,MAT-LG-0001,PLM_A,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
2,2,LGACT-PART-003,Cylinder Barrel Assembly,PLM_BUY,DWG-LGACT-0002,MAT-LG-0002,PLM_B,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
3,3,LGACT-PART-004,Front End Cap,PLM_ASSEMBLY,DWG-LGACT-0003,MAT-LG-0003,PLM_C,Front End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
4,4,LGACT-PART-005,Rear End Cap,PLM_SERVICE,DWG-LGACT-0004,MAT-LG-0004,PLM_D,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
5,5,LGACT-PART-006,Seal Ring Assembly,PLM_MAKE,DWG-LGACT-0005,MAT-LG-0005,PLM_A,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
6,6,LGACT-PART-007,Trunnion Bushing,PLM_BUY,DWG-LGACT-0006,MAT-LG-0006,PLM_B,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
7,7,LGACT-PART-008,Spherical Bearing,PLM_ASSEMBLY,DWG-LGACT-0007,MAT-LG-0007,PLM_C,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
8,8,LGACT-PART-009,Throttle Connector,PLM_SERVICE,DWG-LGACT-0008,MAT-LG-0008,PLM_D,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
9,9,LGACT-PART-010,Displacement Sensor Bracket,PLM_MAKE,DWG-LGACT-0009,MAT-LG-0009,PLM_A,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
10,10,LGACT-PART-011,Locking Nut,PLM_BUY,DWG-LGACT-0010,MAT-LG-0010,PLM_B,Locking Nut aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
11,11,LGACT-PART-012,Piston Rod Assembly,PLM_ASSEMBLY,DWG-LGACT-0011,MAT-LG-0011,PLM_C,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
12,12,LGACT-PART-013,Cylinder Barrel Assembly,PLM_SERVICE,DWG-LGACT-0012,MAT-LG-0012,PLM_D,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
13,13,LGACT-PART-014,Front End Cap,PLM_MAKE,DWG-LGACT-0013,MAT-LG-0013,PLM_A,Front End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
14,14,LGACT-PART-015,Rear End Cap,PLM_BUY,DWG-LGACT-0014,MAT-LG-0014,PLM_B,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
15,15,LGACT-PART-016,Seal Ring Assembly,PLM_ASSEMBLY,DWG-LGACT-0015,MAT-LG-0015,PLM_C,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
