bearing_id,transh_object_id,case_id,bearing_name,raw_label,default_fault_type,default_fault_position,default_fault_severity,diagnosis_confidence,rca_confidence,true_reason_id,true_reason_type,true_stage,design_id,material_batch_id,manufacturing_batch_id,assembly_id,inspection_id,operation_id,has_design,has_material,has_manufacturing,has_assembly,has_inspection,has_operation,lifecycle_complete,display_label,remark
BRG-00001,BRG-00001,BFB-00001,BRG-00001,OR014,outer_race_fault,outer_race,medium,0.6635,0.6369,BASM-00001,AssemblyRecord,assembly,BDES-00407,BMAT-00415,BMAN-00361,BASM-00001,BINSP-00001,BOPR-00001,1,1,1,1,1,1,1,BRG-00001 | outer_race_fault | outer_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00002,BRG-00002,BFB-00002,BRG-00002,OR007,outer_race_fault,outer_race,slight,0.6563,0.6439,BMAT-00128,MaterialBatch,material,BDES-00668,BMAT-00128,BMAN-00586,BASM-00002,BINSP-00002,BOPR-00002,1,1,1,1,1,1,1,BRG-00002 | outer_race_fault | outer_race | slight,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00003,BRG-00003,BFB-00003,BRG-00003,OR021,outer_race_fault,outer_race,severe,0.6955,0.7745,BDES-00547,BearingDesignSpec,design,BDES-00547,BMAT-00359,BMAN-00852,BASM-00003,BINSP-00003,BOPR-00003,1,1,1,1,1,1,1,BRG-00003 | outer_race_fault | outer_race | severe,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00004,BRG-00004,BFB-00004,BRG-00004,B014,rolling_element_fault,rolling_element,medium,0.6462,0.7165,BMAN-00032,ManufacturingBatch,manufacturing,BDES-00312,BMAT-00422,BMAN-00032,BASM-00004,BINSP-00004,BOPR-00004,1,1,1,1,1,1,1,BRG-00004 | rolling_element_fault | rolling_element | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00005,BRG-00005,BFB-00005,BRG-00005,OR014,outer_race_fault,outer_race,medium,0.6577,0.7066,BMAT-00429,MaterialBatch,material,BDES-00611,BMAT-00429,BMAN-01161,BASM-00005,BINSP-00005,BOPR-00005,1,1,1,1,1,1,1,BRG-00005 | outer_race_fault | outer_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00006,BRG-00006,BFB-00006,BRG-00006,OR007,outer_race_fault,outer_race,slight,0.7147,0.6827,BINSP-00006,InspectionRecord,inspection,BDES-00095,BMAT-00156,BMAN-00852,BASM-00006,BINSP-00006,BOPR-00006,1,1,1,1,1,1,1,BRG-00006 | outer_race_fault | outer_race | slight,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00007,BRG-00007,BFB-00007,BRG-00007,B014,rolling_element_fault,rolling_element,medium,0.6954,0.6178,BOPR-00007,MaintenanceRecord,operation,BDES-00761,BMAT-00182,BMAN-00194,BASM-00007,BINSP-00007,BOPR-00007,1,1,1,1,1,1,1,BRG-00007 | rolling_element_fault | rolling_element | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00008,BRG-00008,BFB-00008,BRG-00008,IR014,inner_race_fault,inner_race,medium,0.7096,0.6832,BMAN-00524,ManufacturingBatch,manufacturing,BDES-00247,BMAT-00448,BMAN-00524,BASM-00008,BINSP-00008,BOPR-00008,1,1,1,1,1,1,1,BRG-00008 | inner_race_fault | inner_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00009,BRG-00009,BFB-00009,BRG-00009,IR014,inner_race_fault,inner_race,medium,0.6298,0.6301,BASM-00009,AssemblyRecord,assembly,BDES-00265,BMAT-00327,BMAN-00226,BASM-00009,BINSP-00009,BOPR-00009,1,1,1,1,1,1,1,BRG-00009 | inner_race_fault | inner_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00010,BRG-00010,BFB-00010,BRG-00010,IR014,inner_race_fault,inner_race,medium,0.6645,0.6896,BOPR-00010,MaintenanceRecord,operation,BDES-00597,BMAT-00322,BMAN-00361,BASM-00010,BINSP-00010,BOPR-00010,1,1,1,1,1,1,1,BRG-00010 | inner_race_fault | inner_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00011,BRG-00011,BFB-00011,BRG-00011,Normal,normal,none,normal,0.8778,0.8966,NORMAL_BASELINE,QualityFeedback,feedback,BDES-00632,BMAT-00109,BMAN-00841,BASM-00011,BINSP-00011,BOPR-00011,1,1,1,1,1,1,1,BRG-00011 | normal | none | normal,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00012,BRG-00012,BFB-00012,BRG-00012,B014,rolling_element_fault,rolling_element,medium,0.6676,0.7208,BMAN-01034,ManufacturingBatch,manufacturing,BDES-00759,BMAT-00022,BMAN-01034,BASM-00012,BINSP-00012,BOPR-00012,1,1,1,1,1,1,1,BRG-00012 | rolling_element_fault | rolling_element | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00013,BRG-00013,BFB-00013,BRG-00013,IR021,inner_race_fault,inner_race,severe,0.7231,0.7424,BMAT-00257,MaterialBatch,material,BDES-00266,BMAT-00257,BMAN-00250,BASM-00013,BINSP-00013,BOPR-00013,1,1,1,1,1,1,1,BRG-00013 | inner_race_fault | inner_race | severe,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00014,BRG-00014,BFB-00014,BRG-00014,OR014,outer_race_fault,outer_race,medium,0.7742,0.7751,BDES-00017,BearingDesignSpec,design,BDES-00017,BMAT-00442,BMAN-00467,BASM-00014,BINSP-00014,BOPR-00014,1,1,1,1,1,1,1,BRG-00014 | outer_race_fault | outer_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00015,BRG-00015,BFB-00015,BRG-00015,IR014,inner_race_fault,inner_race,medium,0.6199,0.615,BMAT-00131,MaterialBatch,material,BDES-00155,BMAT-00131,BMAN-00158,BASM-00015,BINSP-00015,BOPR-00015,1,1,1,1,1,1,1,BRG-00015 | inner_race_fault | inner_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00016,BRG-00016,BFB-00016,BRG-00016,Normal,normal,none,normal,0.8604,0.8407,NORMAL_BASELINE,QualityFeedback,feedback,BDES-00125,BMAT-00112,BMAN-00821,BASM-00016,BINSP-00016,BOPR-00016,1,1,1,1,1,1,1,BRG-00016 | normal | none | normal,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00017,BRG-00017,BFB-00017,BRG-00017,IR014,inner_race_fault,inner_race,medium,0.7538,0.6729,BMAN-01192,ManufacturingBatch,manufacturing,BDES-00150,BMAT-00223,BMAN-01192,BASM-00017,BINSP-00017,BOPR-00017,1,1,1,1,1,1,1,BRG-00017 | inner_race_fault | inner_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00018,BRG-00018,BFB-00018,BRG-00018,B014,rolling_element_fault,rolling_element,medium,0.7714,0.6535,BASM-00018,AssemblyRecord,assembly,BDES-00657,BMAT-00090,BMAN-00722,BASM-00018,BINSP-00018,BOPR-00018,1,1,1,1,1,1,1,BRG-00018 | rolling_element_fault | rolling_element | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00019,BRG-00019,BFB-00019,BRG-00019,IR014,inner_race_fault,inner_race,medium,0.6966,0.7147,BMAT-00309,MaterialBatch,material,BDES-00007,BMAT-00309,BMAN-01017,BASM-00019,BINSP-00019,BOPR-00019,1,1,1,1,1,1,1,BRG-00019 | inner_race_fault | inner_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00020,BRG-00020,BFB-00020,BRG-00020,Normal,normal,none,normal,0.9015,0.8386,NORMAL_BASELINE,QualityFeedback,feedback,BDES-00027,BMAT-00099,BMAN-00032,BASM-00020,BINSP-00020,BOPR-00020,1,1,1,1,1,1,1,BRG-00020 | normal | none | normal,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
