defect_record_id,inspection_record_id,component_instance_id,part_instance_id,operation_execution_id,defect_code,defect_name,defect_position,severity_level,failure_desc,find_dept_code,find_dept_name
1,1,1,1,1,DEF-HYD-02,Chrome Plating Scratch on Piston Rod,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,MINOR,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-02,Quality Management Department
2,2,2,2,2,DEF-HYD-03,Seal Ring Compression Damage,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,MAJOR,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-03,Hydraulic Assembly Workshop
3,3,3,3,3,DEF-HYD-04,Scratch on Cylinder Barrel Inner Wall,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,CRITICAL,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,DEPT-QA-04,Precision Machining Workshop
4,4,4,4,4,DEF-HYD-05,Pressure Holding Leakage Rate Out of Tolerance,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,WARNING,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,DEPT-QA-05,Outsourcing Quality Office
5,5,5,5,5,DEF-HYD-06,Actuation Hysteresis,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,MINOR,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-06,Aviation Materials Procurement Department
6,6,6,6,6,DEF-HYD-07,Minor Leakage at Hydraulic Fitting,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,MAJOR,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DEPT-QA-01,Field Support Department
7,7,7,7,7,DEF-HYD-08,Excessive Trunnion Bushing Clearance,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,CRITICAL,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DEPT-QA-02,Quality Management Department
8,8,8,8,8,DEF-HYD-09,Loose Displacement Sensor Bracket,Loose Displacement Sensor Bracket involving Throttle Connector; review and disposition are required according to the nonconformance process.,WARNING,Loose Displacement Sensor Bracket involving Throttle Connector; review and disposition are required according to the nonconformance process.,DEPT-QA-03,Hydraulic Assembly Workshop
9,9,9,9,9,DEF-HYD-01,Chrome Plating Scratch on Piston Rod,Chrome Plating Scratch on Piston Rod involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,MINOR,Chrome Plating Scratch on Piston Rod involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DEPT-QA-04,Precision Machining Workshop
10,10,10,10,10,DEF-HYD-02,Seal Ring Compression Damage,Seal Ring Compression Damage involving Locking Nut; review and disposition are required according to the nonconformance process.,MAJOR,Seal Ring Compression Damage involving Locking Nut; review and disposition are required according to the nonconformance process.,DEPT-QA-05,Outsourcing Quality Office
