item_id,item_no,item_desc,item_grp_cd,mat_grade,spec_model,uom_cd,buy_made_flag
1,MAT-LG-0001,Piston Rod Assembly,ERP_MAKE,ERP_A,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
2,MAT-LG-0002,Cylinder Barrel Assembly,ERP_BUY,ERP_B,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
3,MAT-LG-0003,Front End Cap,ERP_ASSEMBLY,ERP_C,Front End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_KG,N
4,MAT-LG-0004,Rear End Cap,ERP_SERVICE,ERP_D,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
5,MAT-LG-0005,Seal Ring Assembly,ERP_MAKE,ERP_A,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
6,MAT-LG-0006,Trunnion Bushing,ERP_BUY,ERP_B,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,ERP_SET,N
7,MAT-LG-0007,Spherical Bearing,ERP_ASSEMBLY,ERP_C,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
8,MAT-LG-0008,Throttle Connector,ERP_SERVICE,ERP_D,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
9,MAT-LG-0009,Displacement Sensor Bracket,ERP_MAKE,ERP_A,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,ERP_EA,N
10,MAT-LG-0010,Locking Nut,ERP_BUY,ERP_B,Locking Nut aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
11,MAT-LG-0011,Piston Rod Assembly,ERP_ASSEMBLY,ERP_C,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
12,MAT-LG-0012,Cylinder Barrel Assembly,ERP_SERVICE,ERP_D,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_M,N
13,MAT-LG-0013,Front End Cap,ERP_MAKE,ERP_A,Front End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
14,MAT-LG-0014,Rear End Cap,ERP_BUY,ERP_B,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
15,MAT-LG-0015,Seal Ring Assembly,ERP_ASSEMBLY,ERP_C,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_KG,N
16,MAT-LG-0016,Trunnion Bushing,ERP_SERVICE,ERP_D,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
17,MAT-LG-0017,Spherical Bearing,ERP_MAKE,ERP_A,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
18,MAT-LG-0018,Throttle Connector,ERP_BUY,ERP_B,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,ERP_SET,N
19,MAT-LG-0019,Displacement Sensor Bracket,ERP_ASSEMBLY,ERP_C,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
20,MAT-LG-0020,Locking Nut,ERP_SERVICE,ERP_D,Locking Nut aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
21,MAT-LG-0021,Piston Rod Assembly,ERP_MAKE,ERP_A,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_EA,N
22,MAT-LG-0022,Cylinder Barrel Assembly,ERP_BUY,ERP_B,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
23,MAT-LG-0023,Front End Cap,ERP_ASSEMBLY,ERP_C,Front End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
24,MAT-LG-0024,Rear End Cap,ERP_SERVICE,ERP_D,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_M,N
25,MAT-LG-0025,Seal Ring Assembly,ERP_MAKE,ERP_A,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
26,MAT-LG-0026,Trunnion Bushing,ERP_BUY,ERP_B,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
27,MAT-LG-0027,Spherical Bearing,ERP_ASSEMBLY,ERP_C,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,ERP_KG,N
28,MAT-LG-0028,Throttle Connector,ERP_SERVICE,ERP_D,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
29,MAT-LG-0029,Displacement Sensor Bracket,ERP_MAKE,ERP_A,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
30,MAT-LG-0030,Locking Nut,ERP_BUY,ERP_B,Locking Nut aviation manufacturing business record used for actuator quality traceability.,ERP_SET,N
31,MAT-LG-0031,Piston Rod Assembly,ERP_ASSEMBLY,ERP_C,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
32,MAT-LG-0032,Cylinder Barrel Assembly,ERP_SERVICE,ERP_D,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
33,MAT-LG-0033,Front End Cap,ERP_MAKE,ERP_A,Front End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_EA,N
34,MAT-LG-0034,Rear End Cap,ERP_BUY,ERP_B,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
35,MAT-LG-0035,Seal Ring Assembly,ERP_ASSEMBLY,ERP_C,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
36,MAT-LG-0036,Trunnion Bushing,ERP_SERVICE,ERP_D,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,ERP_M,N
37,MAT-LG-0037,Spherical Bearing,ERP_MAKE,ERP_A,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
38,MAT-LG-0038,Throttle Connector,ERP_BUY,ERP_B,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
39,MAT-LG-0039,Displacement Sensor Bracket,ERP_ASSEMBLY,ERP_C,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,ERP_KG,N
40,MAT-LG-0040,Locking Nut,ERP_SERVICE,ERP_D,Locking Nut aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
