component_type_id,component_code,component_name,component_spec,product_code,product_name,drawing_code,technical_status,created_at,updated_at
1,CF-ACTUATORCO-0001,Landing Gear Extension Retraction Hydraulic Actuator,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,AC-LGACT-PROD-0001,Piston Rod Assembly 001,DWG-LGACT-0001,NORMAL,2026-05-09 08:07:00,2026-05-09 08:07:00
2,CF-ACTUATORCO-0002,Landing Gear Extension Retraction Hydraulic Actuator,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,AC-LGACT-PROD-0002,Cylinder Barrel Assembly 002,DWG-LGACT-0002,WARNING,2026-05-10 08:14:00,2026-05-10 08:14:00
3,CF-ACTUATORCO-0003,Landing Gear Extension Retraction Hydraulic Actuator,Front End Cap aviation manufacturing business record used for actuator quality traceability.,AC-LGACT-PROD-0003,Front End Cap 003,DWG-LGACT-0003,QUALIFIED,2026-05-11 08:21:00,2026-05-11 08:21:00
4,CF-ACTUATORCO-0004,Landing Gear Extension Retraction Hydraulic Actuator,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,AC-LGACT-PROD-0004,Rear End Cap 004,DWG-LGACT-0004,CLOSED,2026-05-12 08:28:00,2026-05-12 08:28:00
5,CF-ACTUATORCO-0005,Landing Gear Extension Retraction Hydraulic Actuator,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,AC-LGACT-PROD-0005,Seal Ring Assembly 005,DWG-LGACT-0005,NORMAL,2026-05-13 08:35:00,2026-05-13 08:35:00
6,CF-ACTUATORCO-0006,Landing Gear Extension Retraction Hydraulic Actuator,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,AC-LGACT-PROD-0006,Trunnion Bushing 006,DWG-LGACT-0006,WARNING,2026-05-14 08:42:00,2026-05-14 08:42:00
7,CF-ACTUATORCO-0007,Landing Gear Extension Retraction Hydraulic Actuator,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,AC-LGACT-PROD-0007,Spherical Bearing 007,DWG-LGACT-0007,QUALIFIED,2026-05-15 08:49:00,2026-05-15 08:49:00
8,CF-ACTUATORCO-0008,Landing Gear Extension Retraction Hydraulic Actuator,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,AC-LGACT-PROD-0008,Throttle Connector 008,DWG-LGACT-0008,CLOSED,2026-05-16 08:56:00,2026-05-16 08:56:00
9,CF-ACTUATORCO-0009,Landing Gear Extension Retraction Hydraulic Actuator,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,AC-LGACT-PROD-0009,Displacement Sensor Bracket 009,DWG-LGACT-0009,NORMAL,2026-05-17 09:03:00,2026-05-17 09:03:00
10,CF-ACTUATORCO-0010,Landing Gear Extension Retraction Hydraulic Actuator,Locking Nut aviation manufacturing business record used for actuator quality traceability.,AC-LGACT-PROD-0010,Locking Nut 010,DWG-LGACT-0010,WARNING,2026-05-18 09:10:00,2026-05-18 09:10:00
